R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
73,132.5,Ausar Thompson,"SG,SF",DET,72,30.1,0.410 (4.6/11.1),0.776 (2.5/3.3),0.5,12.1,8.4,4,1.1,1.7,1.9,1.94
74,64.7,Rudy Gobert,C,MIN,68,30.6,0.685 (5.0/7.2),0.669 (3.6/5.4),0,13.5,11.5,1.1,0.7,1.4,1.7,1.9
75,72.7,Chris Paul,PG,GS,60,28.8,0.455 (5.0/10.9),0.835 (2.0/2.4),1.3,13.3,3.6,7.5,1.2,0.3,1.8,1.84
76,80.7,Tyus Jones,PG,WAS,72,30,0.443 (5.2/11.7),0.805 (1.2/1.5),1.9,13.5,3.5,7.4,1.4,0.1,1.1,1.77
77,51.8,Walker Kessler,C,UTA,64,26,0.721 (4.2/5.9),0.513 (1.2/2.3),0,9.7,8.9,1,0.4,2.4,0.8,1.75
78,82.3,Khris Middleton,"SF,PF",MIL,59,29,0.447 (5.9/13.1),0.896 (2.9/3.2),1.9,16.5,4.6,3.9,1,0.3,2.2,1.73
79,88.8,Austin Reaves,"SG,SF",LAL,71,32.6,0.501 (5.0/10.0),0.856 (3.9/4.5),1.6,15.4,3.3,3.8,0.7,0.5,1.6,1.67
80,99.8,D'Angelo Russell,"PG,SG",LAL,70,30.2,0.440 (5.9/13.3),0.826 (2.6/3.2),2.6,16.9,3,6.2,0.9,0.4,2.4,1.64
81,128.1,P.J. Washington,PF,CHA,72,31.2,0.459 (6.3/13.8),0.729 (1.5/2.0),2,16.1,5.4,2.5,1,1.1,1.5,1.52
82,81.7,Kyle Kuzma,"SF,PF",WAS,65,35.1,0.445 (8.3/18.6),0.723 (2.9/4.0),2.6,22.1,8.1,3.8,0.7,0.8,3.2,1.49
83,103.2,John Collins,PF,UTA,70,30,0.517 (5.6/10.8),0.798 (2.2/2.8),1.1,14.4,7.1,1.5,0.6,1,1.1,1.46
84,110.8,Zach Collins,"PF,C",SA,66,27.7,0.507 (5.0/9.9),0.772 (2.2/2.9),1,13.2,7.4,3.4,0.7,1,2.5,1.44
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
85,77.4,Clint Capela,C,ATL,68,26.3,0.631 (5.1/8.0),0.573 (1.2/2.1),0,11.4,11.2,1.1,0.7,1.2,0.7,1.44
86,82.7,CJ McCollum,"PG,SG",NO,62,34.7,0.448 (7.8/17.5),0.732 (2.1/2.8),2.7,20.5,4.2,5.2,1,0.4,2.2,1.42
87,87.3,Derrick White,"PG,SG",BOS,77,29.1,0.451 (4.5/9.9),0.870 (2.4/2.8),1.7,13,3.6,4,0.8,0.9,1.4,1.36
88,144.6,Jalen Johnson,"SF,PF",ATL,72,29.2,0.526 (6.0/11.5),0.634 (1.4/2.3),0.9,14.4,7.5,2.3,1.1,1,1.3,1.36
89,57.2,Jarrett Allen,C,CLE,60,28,0.660 (5.0/7.6),0.719 (2.1/3.0),0,12.1,8.4,1.3,0.6,1,1.2,1.34
