R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
459,,Dylan Windler,SF,NY,40,3,0.500 (0.5/1.0),0.000 (0.0/0.0),0.5,1.5,0.5,0.5,0,0,0,-8.96
460,,Blake Wesley,"PG,SG",SA,10,8.4,0.322 (0.9/2.7),0.589 (0.3/0.6),0.3,2.3,1,1.3,0.3,0.1,0.8,-9.24
461,,Dariq Whitehead,"SG,SF",BKN,30,8.8,0.411 (0.8/1.9),0.743 (0.3/0.4),0.3,2.1,0.5,0.4,0.1,0,0.3,-9.32
462,,Jalen Wilson,PF,BKN,40,3.3,0.000 (0.0/0.5),0.000 (0.0/0.0),0,0,0.5,0,0,0.5,0,-9.37
463,,Dereon Seabron,"SG,SF",NO,40,13.1,0.000 (0.0/2.0),1.000 (2.0/2.0),0,2,0,1,0,0,0,-9.38
464,,Mouhamed Gueye,PF,ATL,40,2.2,0.000 (0.0/0.5),0.000 (0.0/0.0),0,0,0,0,0.5,0,0,-9.52
465,,Keon Ellis,"SG,SF",SAC,40,1.3,0.000 (0.0/0.5),0.000 (0.0/0.0),0,0,0,0,0.5,0,0,-9.52
466,,Jordan Ford,PG,SAC,40,1.3,0.000 (0.0/0.5),1.000 (1.0/1.0),0,1,0,0,0,0,0,-9.59
467,,Trent Forrest,PG,ATL,40,4.7,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0,1,0,0,0,-9.75
468,,Amir Coffey,"SG,SF",LAC,40,6.6,0.000 (0.0/0.7),1.000 (0.7/0.7),0,0.7,0.3,0.7,0,0,0.7,-9.86
469,,Ryan Arcidiacono,PG,NY,40,2.2,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,1,0,0,0,0,-9.86
470,,Filip Petrusev,C,LAC,40,2.7,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,1,0,0,0,0,-9.86
471,,Jared Rhoden,"SG,SF",DET,40,2.2,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0.5,0,0,0,0,-10.06
472,,Nate Hinton,SG,HOU,40,1.4,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0,0,0,0,0,-10.26
473,,Julian Phillips,SF,CHI,40,2.7,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0,0,0,0,0,-10.26
474,,Gregory Jackson,PF,MEM,40,0.6,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0,0,0,0,0,-10.26
475,,Jared Butler,SG,WAS,40,4.4,0.250 (0.5/2.0),0.000 (0.0/0.0),0.5,1.5,0,0.5,0,0,0.5,-10.29
476,,EJ Liddell,PF,NO,40,1.8,0.000 (0.0/0.5),0.000 (0.0/0.0),0,0,1,0,0,0,0,-10.36
477,,Stanley Umude,SG,DET,40,3.9,0.000 (0.0/0.8),0.000 (0.0/0.0),0,0,0.4,0,0.2,0,0,-10.39
478,,Maxwell Lewis,SF,LAL,40,2.7,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0,0,0,0,0.5,-10.41
479,,Lindy Waters III,"SG,SF,PF",OKC,40,1.5,0.000 (0.0/0.3),0.000 (0.0/0.0),0,0,0,0,0,0,0,-10.56
480,,Ish Smith,PG,CHA,40,3.3,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0,0,0,0,1,-10.56
481,,R.J. Hampton,"PG,SG",MIA,40,2,0.000 (0.0/1.0),0.000 (0.0/0.0),0,0,0,0,0,0,0,-11.25
482,,Keyontae Johnson,SF,OKC,40,5.5,0.000 (0.0/1.0),0.000 (0.0/0.0),0,0,0,0,0,0,0,-11.25
483,,Jerome Robinson,"PG,SG",GS,40,4.7,0.000 (0.0/2.0),0.000 (0.0/0.0),0,0,2,0,0,0,0,-11.43
